"link","title","depth","statusCode"
"https://medium.com/citizens-advice/yes-the-gig-economy-is-creating-lots-of-low-quality-jobs-but-policy-can-help-30ae2cab315a?source=catalog_tab---------2---------",,2,200
"https://medium.com/citizens-advice/yes-the-gig-economy-is-creating-lots-of-low-quality-jobs-but-policy-can-help-30ae2cab315a?source=catalog_tab---------2---------#--responses",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2F18bd2c02c87f",,2,200
"https://medium.com/@mtracey",,2,200
"https://medium.com/@mtracey?source=catalog_tab---------0---------",,2,200
"https://medium.com/mtracey?source=catalog_tab---------0---------",,2,200
"https://medium.com/mtracey/rex-tillerson-warrants-scrutiny-because-hes-an-oligarch-not-because-he-shook-hands-with-putin-461dea161d?source=catalog_tab---------0---------",,2,200
"https://medium.com/mtracey/rex-tillerson-warrants-scrutiny-because-hes-an-oligarch-not-because-he-shook-hands-with-putin-461dea161d?source=catalog_tab---------0---------#--responses",,2,200
"https://medium.com/@repbettymccollum",,2,200
"https://medium.com/@repbettymccollum?source=catalog_tab---------1---------",,2,200
"https://medium.com/@repbettymccollum/defending-our-democracy-from-russian-attacks-bbea0f463239?source=catalog_tab---------1---------",,2,200
"https://medium.com/@repbettymccollum/defending-our-democracy-from-russian-attacks-bbea0f463239?source=catalog_tab---------1---------#--responses",,2,200
"https://extranewsfeed.com/@electoralcollege16",,2,302
"https://extranewsfeed.com/@electoralcollege16?source=catalog_tab---------2---------",,2,302
"https://extranewsfeed.com?source=catalog_tab---------2---------",,2,302
"https://extranewsfeed.com/bipartisan-electors-ask-james-clapper-release-facts-on-outside-interference-in-u-s-election-c1a3d11d5b7b?source=catalog_tab---------2---------",,2,302
"https://extranewsfeed.com/bipartisan-electors-ask-james-clapper-release-facts-on-outside-interference-in-u-s-election-c1a3d11d5b7b?source=catalog_tab---------2---------#--responses",,2,302
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2Fd9e30c23b55b",,2,200
"https://medium.com/@rohinivibha",,2,200
"https://medium.com/@rohinivibha?source=catalog_tab---------0---------",,2,200
"https://medium.com/@rohinivibha/what-a-zebra-taught-me-about-good-leadership-accb285dc36d?source=catalog_tab---------0---------",,2,200
"https://medium.com/@natematias",,2,200
"https://medium.com/@natematias?source=catalog_tab---------1---------",,2,200
"https://medium.com/mit-media-lab?source=catalog_tab---------1---------",,2,200
"https://medium.com/mit-media-lab/the-obligation-to-experiment-83092256c3e9?source=catalog_tab---------1---------",,2,200
"https://medium.com/mit-media-lab/the-obligation-to-experiment-83092256c3e9?source=catalog_tab---------1---------#--responses",,2,200
"https://medium.com/@JessK305",,2,200
"https://medium.com/@JessK305?source=catalog_tab---------2---------",,2,200
"https://medium.com/literally-literary?source=catalog_tab---------2---------",,2,200
"https://medium.com/literally-literary/metamorphosis-9909ccfadd8f?source=catalog_tab---------2---------",,2,200
"https://medium.com/literally-literary/metamorphosis-9909ccfadd8f?source=catalog_tab---------2---------#--responses",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2Fc9155212f2a4",,2,200
"https://hackernoon.com/@adammiltonbarker",,2,302
"https://hackernoon.com/@adammiltonbarker?source=catalog_tab---------0---------",,2,302
"https://hackernoon.com?source=catalog_tab---------0---------",,2,302
"https://hackernoon.com/iot-meets-biohacking-communicating-with-devices-and-applications-using-the-microchip-in-my-hand-cd4806bf101f?source=catalog_tab---------0---------",,2,302
"https://hackernoon.com/iot-meets-biohacking-communicating-with-devices-and-applications-using-the-microchip-in-my-hand-cd4806bf101f?source=catalog_tab---------0---------#--responses",,2,302
"https://hackernoon.com/@namobrain",,2,302
"https://hackernoon.com/@namobrain?source=catalog_tab---------1---------",,2,302
"https://hackernoon.com?source=catalog_tab---------1---------",,2,302
"https://hackernoon.com/what-if-a2d5b72edf81?source=catalog_tab---------1---------",,2,302
"https://thinking.nootrobox.com/@geoffreywoo",,2,302
"https://thinking.nootrobox.com/@geoffreywoo?source=catalog_tab---------2---------",,2,302
"https://thinking.nootrobox.com?source=catalog_tab---------2---------",,2,302
"https://thinking.nootrobox.com/90-day-biohacker-challenge-f0009e45c741?source=catalog_tab---------2---------",,2,302
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2Fa92c9521be34",,2,200
"https://bullshit.ist/@carriesnotscary",,2,302
"https://bullshit.ist/@carriesnotscary?source=catalog_tab---------0---------",,2,302
"https://bullshit.ist?source=catalog_tab---------0---------",,2,302
"https://bullshit.ist/an-exclusive-look-at-the-schedule-for-taylor-swifts-24-hour-tv-channel-e8b9cccf26c4?source=catalog_tab---------0---------",,2,302
"https://bullshit.ist/an-exclusive-look-at-the-schedule-for-taylor-swifts-24-hour-tv-channel-e8b9cccf26c4?source=catalog_tab---------0---------#--responses",,2,302
"https://medium.com/@resnikoff",,2,200
"https://medium.com/@resnikoff?source=catalog_tab---------1---------",,2,200
"https://medium.com/@resnikoff/nobody-talks-about-the-fact-that-taylor-swift-is-jewish-heres-why-it-matters-64aececd20b?source=catalog_tab---------1---------",,2,200
"https://medium.com/@resnikoff/nobody-talks-about-the-fact-that-taylor-swift-is-jewish-heres-why-it-matters-64aececd20b?source=catalog_tab---------1---------#--responses",,2,200
"https://gloriouspublication.com/@Lamelion",,2,302
"https://gloriouspublication.com/@Lamelion?source=catalog_tab---------2---------",,2,302
"https://gloriouspublication.com?source=catalog_tab---------2---------",,2,302
"https://gloriouspublication.com/taylor-swift-is-dead-259445ca4b69?source=catalog_tab---------2---------",,2,302
"https://gloriouspublication.com/taylor-swift-is-dead-259445ca4b69?source=catalog_tab---------2---------#--responses",,2,302
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2F8acf6ac21860",,2,200
"https://medium.com/@Erlend_Sandoy",,2,200
"https://medium.com/@Erlend_Sandoy?source=catalog_tab---------0---------",,2,200
"https://medium.com/bl%C3%A6khus-comics?source=catalog_tab---------0---------",,2,200
"https://medium.com/bl%C3%A6khus-comics/they-keep-us-clean-ec10ad0deba3?source=catalog_tab---------0---------",,2,200
"https://medium.com/bl%C3%A6khus-comics/they-keep-us-clean-ec10ad0deba3?source=catalog_tab---------0---------#--responses",,2,200
"https://sfhomelessproject.com/@arjannavanderplas",,2,302
"https://sfhomelessproject.com/@arjannavanderplas?source=catalog_tab---------1---------",,2,302
"https://sfhomelessproject.com?source=catalog_tab---------1---------",,2,302
"https://sfhomelessproject.com/humanizing-homelessness-in-san-francisco-one-drawing-at-a-time-f3b1635b7598?source=catalog_tab---------1---------",,2,302
"https://medium.com/@lomography",,2,200
"https://medium.com/@lomography?source=catalog_tab---------2---------",,2,200
"https://medium.com/@lomography/an-interview-with-jordan-tiberio-portraiture-in-flights-of-fancy-d88974a36c65?source=catalog_tab---------2---------",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40missmagen",,2,200
"https://medium.com/@missmagen/following","Show 476 people following",2,200
"https://medium.com/@missmagen/followers","Show 349 followers",2,200
"https://twitter.com/missmagen","Twitter",2,200
"https://facebook.com/10102064672267329","Facebook",2,301
"https://medium.com/@missmagen/latest",,2,200
"https://medium.com/@missmagen/has-recommended",,2,200
